id;name;date;description
1;mobile Fish;2019-07-01;Savings Account Dam
2;Practical Fresh Pants;2019-07-01;alarm
3;Tasty Metal Bacon;2019-07-01;Electronics
4;Soap methodology Albania;2019-07-01;intangible
5;enable Gorgeous Frozen Pants;2019-07-02;Licensed Savings Account
6;Cambridgeshire Mississippi;2019-07-02;Credit Card Account Table Small Frozen Sausages
7;South Dakota envisioneer Music;2019-07-02;Monitored Bahamian Dollar Investment Account
8;Games Regional Digitized;2019-07-01;hardware Costa Rica Mayotte
9;Industrial;2019-07-01;Views e-enable Communications
10;National Awesome sky blue;2019-07-02;software scale interactive
